,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
3569,"Las Vegas Home Care, LLC",28-RC-324406,Las Vegas,NV,2023-08-23,"Region 28, Phoenix, Arizona",Closed,12/13/2023,Certific. of Representative,68.0,128.0,"Nevada Service Employees Union, SEIU Local 1107","INCLUDED:  Persons employed by the Employer for purposes of providing personal care services to a client

EXCLUDED:  Persons not meeting the definition of Personal Care Assistant as described",2023
3570,"Bourbon Dog, Inc.",10-RC-324392,Burlington,NC,2023-08-23,"Region 10, Atlanta, Georgia",Closed,10/13/2023,Certific. of Representative,12.0,15.0,"Tech Repair Union, Local 1","Included:
All full-time and regular part-time technicians, lead technicians, remote technicians, and associates employed by the Employer at its Burlington, Greensboro, and Kernersville, NC stores.

Excluded:
All other employees, managers, confidential employees, guards, and supervisors as defined in the Act.",2023
3571,MFI Recovery Center,21-RC-324463,Palm Springs,CA,2023-08-23,"Region 21, Los Angeles, California",Closed,09/29/2023,Certific. of Representative,30.0,33.0,Teamsters Local 1932,"Included: 30 

Excluded: 3",2023
3572,Allied Universal Security Services,05-RC-324192,Washington,DC,2023-08-22,"Region 05, Baltimore, Maryland",Closed,08/31/2023,Withdrawal Non-adjusted,,33.0,,"Included: All full & part-time guards at facility 
Excluded: Office clerical, professional, employees, managers & supervisors as defined in the Act",2023
3573,"SYSCO LOUISVILLE, INC.",09-RC-324249,Louisville,KY,2023-08-22,"Region 09, Cincinnati, Ohio",Closed,10/11/2023,Certific. of Representative,88.0,95.0,"General Drivers, Warehousemen and Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters","Included: All full time and part time Selectors, loaders, forklift operator, putaway, slotting coordinator, Receivers.  Excluded: Fleet technicians, maintenance utility technicians, yard spotter, transportation clerk, sanitation technicians, MHE Techs.  All administrative, clerical, sales, security and supervisors as defined by the Act.",2023
3574,Kaycha MA LLC,01-RC-324255,Natick,MA,2023-08-22,"Region 01, Boston, Massachusetts",Closed,10/06/2023,Certific. of Representative,23.0,20.0,"United Food and Commercial Workers Union, Local 1445","Included: All full-time and regular part-time employees at the Employer’s facility located in Natick, MA
Excluded: Managerial employees, guards, professional employees, and supervisors within the meaning
of the Act.",2023
3575,"Allied Waste Systems of Michigan, LLC",08-RC-324382,Toledo,OH,2023-08-22,"Region 08, Cleveland, Ohio",Closed,10/13/2023,Certification of Results,8.0,8.0,,"Included: All full-time and regular part-time Heavy Equipment Operators, Scale Operators and Mechanics employed by the Employer at 6196 Hagman Rd., Toledo, OH 43612.  Excluded: All office clerical employees, professional employees, supervisors and guards as defined in the Act.",2023
3576,Denver Urban Gardens,27-RC-324287,Denver,CO,2023-08-22,"Region 27, Denver, Colorado",Closed,09/06/2023,Withdrawal Non-adjusted,,11.0,,"Included: All regular full-time and part-time employees. Excluded: All supervisory, managerial, confidential, & guard ees under the Act.",2023
3577,"Mid-America Conversion Services, LLC",10-RC-324284,Kevil,KY,2023-08-22,"Region 10, Atlanta, Georgia",Closed,09/29/2020,Certific. of Representative,4.0,7.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC (USW)","The Four (4) Quality Assurance employees employed by Mid-American Conversion Services, LLC at its facility located at 5600 Hobbs Road, Kevil, KY 42053 seek to be included in the existing bargaining unit at the same location of approximately 130 employees including Operator Technicians, General Maintenance Technicians, Instrument Maintenance Technicians, Electrical Maintenance Technicians, Site Services Technicians, Health and Safety Technicians, Junior Radiological Control Technicians, Procedure Writers, and Training Specialists, excluding all office clericals, professional and managerial employees, supervisors, and guards as defined in the Act.
",2023
3578,Starbucks Corporation,20-RC-324326,Fairfield,CA,2023-08-22,"Region 20, San Francisco, California",Closed,10/12/2023,Certific. of Representative,22.0,23.0,WORKERS UNITED,"Included: All full time and regular part time Baristas and Shift Supervisors employed at: Starbucks, Solano Mall, 1450 Travis Boulevard, Fairfield, CA 94533.

Excluded: All Store Managers, office clericals, supervisors and guards as defined by the Act.",2023
3579,Perdue AgriBusiness LLC,05-RC-324299,Salisbury,MD,2023-08-22,"Region 05, Baltimore, Maryland",Open,,,44.0,43.0,,"Included:  All regular Full-time and regular Part-time hourly paid Refinery employees
including Maintenance employees, Lab Technicians, Wash Bay employees and
Production employees.
Excluded:  All other employees including confidential employees, guards and supervisors as
defined in the Act.",2023
3580,Requiem LLC,21-RC-324351,Anaheim,CA,2023-08-22,"Region 21, Los Angeles, California",Closed,09/13/2023,Withdrawal Non-adjusted,,25.0,,Included: All employees Excluded: None,2023
3581,"Limetree Bay Terminals, LLC d/b/a Ocean Point Terminals",12-RC-324102,Christiansted,VI,2023-08-21,"Region 12, Tampa, Florida",Closed,10/16/2023,Certification of Results,56.0,50.0,,"INCLUDED:  All full-time and regular part-time Operators.
EXCLUDED:  All other employees, confidential employees and supervisors as defined by the Act.",2023
3582,PSA,05-RC-324106,Norfolk,VA,2023-08-21,"Region 05, Baltimore, Maryland",Closed,09/07/2023,Withdrawal Non-adjusted,,13.0,,"Included: Parts specialists, clerks, and leads; 
Excluded: Statutory exclusions",2023
3583,"Shimmick Construction Company, Inc.",22-RC-324204,Jersey City,NJ,2023-08-21,"Region 22, Newark, New Jersey",Closed,10/25/2023,Certification of Results,6.0,6.0,,"INCLUDED:  Transportation Managers 

EXCLUDED:  All others",2023
3584,"Alamo Intermediate II Holdings, LLC",29-RC-324219,Brooklyn,NY,2023-08-21,"Region 29, Brooklyn, New York",Closed,10/11/2023,Certific. of Representative,182.0,200.0,"Local 2179 of the International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW)","Included:
All full time and regular part time employees in Brooklyn, New York.

Excluded:
All supervisors, as defined by the Act, and Technical Engineers/Projectionists.",2023
3585,Coca-Cola Southwest Beverages,16-RC-324230,Fort Worth,TX,2023-08-21,"Region 16, Fort Worth, Texas",Closed,09/07/2023,Withdrawal Non-adjusted,,300.0,,"INCLUDED:
Installers, service technicians, quality assurance employers, inventory control employees, production employees, full service drivers, transportation drivers, special events drivers, mini bulk (FOF) drivers, sideload drivers, bulk drivers, general labor employees, warehouse employees including fork lift drivers and loaders, transport loaders, repack employees, reset employees, lead employees, and checkers employed by the Employer at its Fort Worth, TX facility.

EXCLUDED:
All other employees, including maintenance, fleet maintenance, office and plant clericals, account specialists, , merchandisers, managers, guards and supervisors as defined by the act.",2023
3586,Doe Donuts LLC,19-RC-324166,Portland,OR,2023-08-21,"Region 19, Seattle, Washington",Closed,08/23/2023,Withdrawal Non-adjusted,,11.0,,Included: All full and part time employees. Excluded: Managers.,2023
3587,"J's Associates, LLC",25-RC-324197,Indianapolis,IN,2023-08-21,"Region 25, Indianapolis, Indiana",Closed,09/21/2023,Certific. of Representative,3.0,3.0,"International Union of Operating Engineers, Local 399","Included: All full-time and regular part-time skilled maintenance employees working for J's Associates at the Minton-Capehart Federal Building in Indianapolis, Indiana.

Excluded: Office clerical, professional employees, managers, guards, and supervisors as defined in the Act.",2023
3588,Fair Housing Council of Oregon,19-RC-324184,Portland,OR,2023-08-21,"Region 19, Seattle, Washington",Closed,10/16/2023,Certific. of Representative,14.0,13.0,"Communications Workers of America, AFL-CIO","Included: All regular full-time and part-time employees. Excluded: All supervisory, managerial, confidential, & guard ees under the Act.",2023
3589,ImageFirst LLC,29-RC-324035,Hicksville,NY,2023-08-18,"Region 29, Brooklyn, New York",Closed,10/10/2023,Certific. of Representative,9.0,7.0,Local 804 International Brotherhood of Teamsters,"included:
All full time and regular part time drivers

excluded:
all other employees",2023
3590,Dragonfly Wellness LLC,27-RC-324056,Salt Lake City,UT,2023-08-18,"Region 27, Denver, Colorado",Closed,10/11/2023,Certific. of Representative,31.0,30.0,"United Food and Commercial Workers, Local 99, AFL-CIO","Included: All wellness associates, team leads, drivers, delivery leads, inventory specialists, pharmacists and head trainers Excluded: All delivery operations managers, patient experience representatives, fulfillment managers, chief pharmacists, general managers, patient experience managers and delivery personelle managers",2023
3591,"Constellation Nuclear Security, LLC",25-RC-324105,Brookfield,IL,2023-08-18,"Region 25, Indianapolis, Indiana",Closed,09/29/2023,Certific. of Representative,102.0,120.0,National Union of Special Police Officers affiliated with United Federation Law Enforcement Officers Security & Police Benevolent Association (LEOS-PBA),"Included: All full-time and regular part-time security officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by the Employer @ as noted in 11D Excluded: All office clerical employees, professional employees CAS/SAS, Trainers, Leads, Managers and supervisors as defined by the Act.",2023
3592,"The Hiller Companies, LLC",28-RC-324270,Las Vegas,NV,2023-08-18,"Region 28, Phoenix, Arizona",Closed,10/05/2023,Certific. of Representative,13.0,10.0,"Road Sprinkler Fitters Local Union 669, affiliated with United Association of Journeyman and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO","Included: All full-time and regular part-time sprinkler fitter technicians employed by the Employer at its 815 E. Pilot Road, Suite A, Las Vegas, Nevada facility. 
Excluded: All other employees, alarm and security technicians, office clericals, guards and supervisors as defined by the Act.",2023
3593,MultiCare Health System d/b/a MultiCare Good Samaritan Hospital,19-RC-324073,Puyallup,WA,2023-08-18,"Region 19, Seattle, Washington",Closed,10/25/2023,Certific. of Representative,211.0,180.0,"International Association of Machinists and Aerospace Workers, District Lodge 751, AFL-CIO",,2023
3594,"Range Generation Next, LLC",31-RC-324069,Vandenberg AFB,CA,2023-08-18,"Region 31, Los Angeles, California",Closed,09/25/2023,Certific. of Representative,9.0,9.0,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986","Included: The Union is seeking an Armour-Globe election and wishes to add all full-time and regular part-time System Analysts in the Centralized Telemetry Processing System (CTPS) Group employed by the Employer at its facility currently located at 105 13th Street, VSFB, CA to the existing unit.

",2023
3595,"Reco Equipment, Inc.",07-RC-324083,Brighton,MI,2023-08-18,"Region 07, Detroit, Michigan",Closed,09/29/2023,Certific. of Representative,7.0,7.0,"Local 324, International Union of Operating Engineers (IUOE), AFL-CIO","Included:  All full-time and regular part-time mechanics employed by the employer in and out of its Brighton MI facility

Excluded:  Office clerical employees, guards, and supervisors as defined in the Act.",2023
3596,"Relish Labs, LLC",13-RC-324067,Bedford Park,IL,2023-08-18,"Region 13, Chicago, Illinois",Closed,10/18/2023,Certific. of Representative,500.0,188.0,United Food & Commercial Workers International Union Local 1546,"Included: All full-time and part-time Gatekeepers, Production Associates, Laborers, Maintenance 
Mechanics, Environmental Health and Safety Leads, Forklift Operators, Pallet-Jack Operators, 
Machine Operators, Quality Control, Runners, Sanitation Workers, Training Leads, Warehouse 
Associates, Shipping and Receiving Associates, and Shift Leads.  
Excluded: All managerial employees, guards, and professional employees and supervisors as 
defined in the Act.
",2023
3597,Rock Energy Cooperative,18-RC-324072,Janesville,WI,2023-08-18,"Region 18, Minneapolis, Minnesota",Closed,10/06/2023,Certific. of Representative,7.0,7.0,"International Brotherhood Of Electrical Workers, Local 965 AFL-CIO","Included: All regular and full-time Engineering Technician- Natural Gas, Natural Gas Technician- trai*

Excluded: supervisors, managers and confidential employees as defined by the act",2023
3598,Decypher Technologies LTD,21-RC-324051,San Diego,CA,2023-08-18,"Region 21, Los Angeles, California",Closed,10/19/2023,Certific. of Representative,3.0,4.0,"International Association of Machinists and Aerospace Workers, District Lodge 725, AFL-CIO","Included:     All full-time and regular part-time Certified Athletic Trainers.

Excluded:     Guards, Office Clerical and Supervisors as defined in the Act.",2023
3599,"Transdev Services, Inc.",18-RC-324100,Rochester,MN,2023-08-18,"Region 18, Minneapolis, Minnesota",Closed,10/03/2023,Certification of Results,2.0,2.0,"Amalgamated Transit Union, Local 1005",Included: Armour-Globe Election to all full-time Call Taker/Reservationist and Trip Scheduler to existing to the existing ATU 1005 bargaining unit Excluded: All other unrepresented employees guards and supervisors,2023
